Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	trt1	127N	128C	129N	130C	131N	RefInt_TMT6_FP18_chimerys
OTUD6B	6	Q8N6M0	1.0	23.3154328353439	0.061807708576244735	0.0674215867179857	-0.04091060284267378	-0.007967988825820171	-0.022218985323043228	-0.10394087144467257	23.3154328353439
OTULIN	3	Q96BN8	1.0	23.340707014160998	0.14149924736446096	0.08384863022002875	0.020906242643892625	0.004233519596521518	-0.15070925872246832	-0.10650690076912639	23.340707014160998
OVCA2	5	Q8WZ82	1.0	21.64690257144992	-0.07857266144516828	0.13141017591991755	-0.11018747122011519	0.011026727577975848	-0.012838762440091855	-0.005565696994761282	21.64690257144992
OXA1L	14	Q15070	1.0	24.3837744938193	0.13304755079070674	0.08722420872637038	-0.050396511191406645	0.01674146391755471	-0.08700694115762175	-0.07113085595006119	24.3837744938193
OXNAD1	3	Q96HP4	1.0	21.54869703374371	-0.040358581238276514	-0.06211702897968863	0.03449545309730695	-0.013449552981420254	0.05712613920061216	0.02065318974976904	21.54869703374371
OXR1	2	Q8N573	0.9937	21.789128634083887	-0.16786621787150047	-0.1510113958661936	-0.12193024884028603	0.13328894881125208	0.19770493323416538	0.05515690205823098	21.789128634083887
OXSM	3	Q9NWU1	1.0	21.32966678611437	0.11080134167842459	0.0952423792198811	0.03272106973590638	0.008172204593963173	-0.1819324553053292	-0.07961630906916284	21.32966678611437
OXSR1	7	O95747	1.0	24.184255787318655	-0.006930073436105744	0.06567546924893009	0.020397408685216334	0.0496999123921924	-0.03707916140635348	-0.14878536441424473	24.184255787318655
P00761	76	P00761	1.0	32.00805072941854	-0.050658767918917214	-0.019752571941936026	-0.0387982834534597	0.06552616730590355	0.03029897081367139	7.0616456008743E-4	32.00805072941854
P2RX4	1	Q99571	0.9986	20.596380740870156	-0.059030276604673304	0.1228548428700762	0.01079954362434421	0.10756181680172716	-0.16514491592474556	-0.03734751284157767	20.596380740870156
P3H1	7	Q32P28	1.0	23.988490561208266	-0.03131024110946612	0.12203435745763969	-0.047160659277754036	0.06949869763129968	6.98317619093558E-4	-0.1565977231814415	23.988490561208266
P4HA1	43	P13674	1.0	25.327158608480442	0.07655358577150206	0.060317272160457236	-0.06653868565227938	0.005286883713910839	-0.019023275221664804	-0.08827295654108269	25.327158608480442
P4HB	193	P07237	1.0	30.246441687444502	0.09079590299856477	0.05621314860117543	-0.028205657722899957	0.016846592441757124	-0.12406170963637564	-0.08732369268025764	30.246441687444502
PA2G4	102	Q9UQ80	1.0	28.38357623401121	0.11578631687434893	0.1160932291284631	-0.0055417513166649	0.002855517637858185	-0.13346744508625363	-0.11547029693228694	28.38357623401121
PAAF1	11	Q9BRP4	1.0	24.481021521996173	0.014550661660763353	0.02295608392289239	-7.006613622131397E-4	0.04747596381152519	0.0010867733587929251	-0.003965697789542588	24.481021521996173
PAAT	1	Q9H8K7	0.9996	21.993336769742537	-0.33249189445565364	-0.3367174739800305	0.006511906275640911	0.19607818961230805	0.20979973499218474	0.1471294942064354	21.993336769742537
PABPC1	131	P11940	1.0	29.669938201306902	0.044982091232938615	0.060394793637600586	-0.01180732707782095	0.020950418049697106	-0.0613526766189203	-0.08895324624127099	29.669938201306902
PABPC1L	1	Q4VXU2	1.0	21.86005909500109	0.16389802692792443	0.13358122018347274	0.12050176801804113	-0.03194130151207375	-0.31986132411132573	-0.12608685854212354	21.86005909500109
PABPC4	33	Q13310	1.0	27.140703192256655	0.0286278766793302	0.05451259530588359	0.0042290185416700155	0.024011677629321326	-0.08598499182567565	-0.0843832547856529	27.140703192256655
PABPN1	15	Q86U42	1.0	25.71869194135154	0.013088255849620367	0.08144400617883818	-0.004744789864851384	-0.014439884007167336	-0.010616305758826883	-0.08978924595839644	25.71869194135154
PACSIN2	30	Q9UNF0	1.0	25.528028753517543	-0.001741916983371894	0.050286192296367105	-0.02545242996215258	0.038315134394570904	-0.002644033392519063	-0.045636596023964415	25.528028753517543
PADI4	6	Q9UM07	1.0	23.131921671932712	-0.014818548522612218	0.10814776362983558	-0.007829676666689878	0.04592767905336004	-0.09775933048341301	-0.05152583596647453	23.131921671932712
PAF1	12	Q8N7H5	1.0	24.27399352167274	0.05157046165012247	0.042022167052078174	-0.02354314165659588	0.019980031173210122	-0.02199328453965954	-0.09364047078697979	24.27399352167274
PAFAH1B1	29	P43034	1.0	25.893577323230872	0.07089911764029466	0.04134653713699521	0.004520571179593702	0.02549922601281196	-0.08831976466215608	-0.06105960784908149	25.893577323230872
PAFAH1B2	9	P68402	1.0	25.961384626268085	0.027426320667185422	0.0519257383330789	-0.05405502653755789	0.0848741835921345	-0.04552465255214244	-0.07631873477546236	25.961384626268085
PAFAH1B3	7	Q15102	1.0	25.248446895478057	-0.015514951714123981	0.11063172240422858	-0.01834258990109916	0.008185973536740221	-0.0894323407245281	-0.044652456382472394	25.248446895478057
PAGR1	1	Q9BTK6	1.0	19.007318774083902	-0.11127607067331624	-0.026569127083199362	0.01758384958327497	0.0323075162569495	0.04484482249007726	0.03702712999379898	19.007318774083902
PAICS	87	P22234	1.0	28.040166001327563	0.047316484325840236	0.05265785367968512	-0.025964407940618273	0.025706178722220585	-0.06290619371546846	-0.07423400687344461	28.040166001327563
PAIP1	5	Q9H074	1.0	23.102371950392836	0.18965545473086642	0.1907377509784176	0.022357982283311983	-0.08717114841418905	-0.22321451075957555	-0.20159371439178742	23.102371950392836
PAIP2	3	Q9BPZ3	0.9981	26.18204107208126	0.017593646822042786	0.032772975270450644	0.02145463056630348	0.06538779445930842	-0.03764705690296566	-0.0537830557044785	26.18204107208126
PAK1	9	Q13153	1.0	22.542998769698613	-0.034088011019147046	0.022942271320333774	0.1550273631132857	0.03457912726007706	-0.09993505213680542	-0.03672709202167468	22.542998769698613
PAK1IP1	10	Q9NWT1	1.0	24.628972248954586	0.09559833268410323	0.033833051451393814	-0.043426868499199855	0.015662803114420143	-0.03780236322320274	-0.07723105902179839	24.628972248954586
PAK2	64	Q13177	1.0	26.58519149791972	0.03670002355022284	0.05030116063926826	-0.02235882913010734	0.04703710386958093	-0.02811904988836389	-0.08241374237733368	26.58519149791972
PAK4	3	O96013	1.0	22.538491750994705	0.02601412464136743	0.009877886508160572	0.011684450100307942	0.06412563940197913	-0.04058844990566968	-0.0190179401755195	22.538491750994705
PALD1	9	Q9ULE6	1.0	23.558195169099942	0.03487204249747222	0.05208067610861633	0.007063496653440637	0.02790812097180151	-0.02753094950625723	-0.07409125992526455	23.558195169099942
