Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	RefInt_TMT10_FP18_chimerys
COPS7A	7	Q9UBW8	1.0	23.998889628050968	24.212862734952516	19.725032528732996	20.92748701383554	24.794057639290077	20.84739654661929	24.600143255582125	24.950615793142333	24.82104363394658	21.237499406701016	24.74049954377879	23.998889628050968
COPS7B	2	Q9H9Q2	1.0	21.71795107294337	21.642977744906272	16.271785259659694	18.74598399118003	22.585404140079454	17.842188438175747	22.447751486490525	22.402612624019493	22.027209142477997	19.302359470807165	22.03327959899741	21.71795107294337
COPS8	6	Q99627	1.0	23.820040275391293	23.98229892316136	19.472229948141997	21.65080688770535	24.119516990583723	20.632066774091804	24.3298460174611	24.54651860907834	24.333120873889833	21.288925361485827	24.33319252129873	23.820040275391293
COPZ1	14	P61923	1.0	24.755296736420007	24.663721750955446	20.393545084097298	21.88290751594494	25.85125332913745	21.326257978176848	25.530910912657266	25.412393237509487	25.091169941056183	22.045680589010097	25.29994510714763	24.755296736420007
COPZ2	7	Q9P299	1.0	21.838709839833548	22.33987904897035	17.81403400939609	19.476759501020116	22.65087515781035	18.764147558365554	22.17016246187226	22.27128894547835	22.676611984394242	18.526922376921714	22.779053024717715	21.838709839833548
COQ10A	2	Q96MF6	1.0	21.33692941994303	21.099880439786553	18.072711443013688	18.768887225996835	22.645089208158925	19.340489973898656	21.632844448636618	21.320630482664352	22.006726250823363	18.073966486297557	22.457108542155126	21.33692941994303
COQ10B	4	Q9H8M1	1.0	21.336072428521852	21.395277112257098	17.189961253647855	18.429294550581968	22.587754478950302	19.052285178420338	21.846866677147517	21.67326710508277	21.991575874406337	19.116675643194164	22.09833884550417	21.336072428521852
COQ3	6	Q9NZJ6	1.0	24.156810578467226	24.786742761219905	20.09810847476016	22.002139748840065	24.840840452510072	20.413329212262262	24.040072117027673	24.05651312866519	25.274903413255604	20.718177677718245	25.11355579873961	24.156810578467226
COQ4	1	Q9Y3A0	1.0	20.873610279456845	20.641116469153552	16.339007710472846	17.481484056361918	21.858684867943825	18.38862713630105	21.63656341283225	21.608785261414564	21.469530088160187	18.24096275902489	21.736084914861934	20.873610279456845
COQ5	14	Q5HYK3	1.0	24.834622307822382	24.997770963477613	20.498507397623932	22.02424292911575	25.717442864876006	21.428752255770885	25.260220306776684	25.159726893338902	25.744329830263663	21.816450165466346	25.431669531856897	24.834622307822382
COQ6	11	Q9Y2Z9	1.0	23.98441116734803	24.14992535348153	20.07081692349961	21.65096137924089	24.907146666786282	20.79154655498305	24.133011915563266	24.10681086834174	24.737729089710825	20.95136374612559	24.580946427521745	23.98441116734803
COQ7	12	Q99807	1.0	23.168996997351712	23.665292121025626	19.523431748717787	21.156350511110507	24.087489087983837	20.385666362060512	23.615592825331575	23.481549194248363	23.869410119792835	20.442911402214612	23.749843944894547	23.168996997351712
COQ8A	23	Q8NI60	1.0	24.84267406530046	25.056436911379258	20.817844799516102	21.95714145092483	25.822078269518414	21.66083737493742	25.50887584804926	25.600507387192362	25.289712923856907	22.11185300736058	25.35469047835033	24.84267406530046
